year,country_code,Population,gdp_per_capita_2017ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd,,,,,
2009,STP,175876,3228,2734,1068,,,,,
2010,STP,180371,3357,2877,1090,,,,,
2011,STP,184524,3426,2997,1255,,,,,
2012,STP,188404,3461,2955,1331,,,,,
2013,STP,192087,3558,3319,1565,,,,,
2014,STP,195727,3721,3817,1770,,,,,
2015,STP,199432,3794,3838,1585,,,,,
2016,STP,203227,3879,3889,1700,,,,,
2017,STP,207089,3953,3953,1814,,,,,
2018,STP,211028,3993,4091,1954,,,,,
2019,STP,215056,3970,4145,1947,,,,,
2006,SUR,505292,14970,11211,5198,,,,,
2007,SUR,511181,15554,11961,5745,,,,,
2008,SUR,517122,16012,12553,6832,,,,,
2009,SUR,523113,16306,12881,7408,,,,,
2010,SUR,529126,16954,13549,8256,,,,,
2011,SUR,535177,17743,14475,8263,,,,,
2012,SUR,541247,18016,15785,9201,,,,,
2013,SUR,547295,18339,16815,9402,,,,,
2014,SUR,553278,18187,17261,9472,,,,,
2015,SUR,559136,17383,16072,8562,,,,,
2016,SUR,564883,16249,14207,5539,,,,,
2017,SUR,570501,16373,16373,5638,,,,,
2018,SUR,575987,16634,17040,6015,,,,,
2019,SUR,581363,16525,17256,6360,,,,,
2006,SVK,5373054,21845,18889,13160,,,,,
2007,SVK,5374622,24205,21197,16086,,,,,
2008,SVK,5379233,25532,23726,18677,,,,,
2009,SVK,5386406,24107,23098,16532,,,,,
2010,SVK,5391428,25499,25209,16751,,,,,
2011,SVK,5398384,26191,26083,18362,,,,,
2012,SVK,5407579,26642,26967,17482,,,,,
2013,SVK,5413393,26791,28002,18260,,,,,
2014,SVK,5418649,27472,28997,18674,,,,,
2015,SVK,5423801,28768,29920,16311,,,,,
2016,SVK,5430798,29343,29659,16509,,,,,
2017,SVK,5439232,30189,30189,17557,,,,,
2018,SVK,5446771,31284,32553,19406,,,,,
2019,SVK,5454073,31966,33516,19266,,,,,
2006,SVN,2006868,32923,25686,19673,,,,,
2007,SVN,2018122,35024,27537,23788,,,,,
2008,SVN,2021316,36196,29604,27483,,,,,
2009,SVN,2039669,33163,27558,24694,,,,,
2010,SVN,2048583,33462,27848,23510,,,,,
2011,SVN,2052843,33680,28931,25095,,,,,
2012,SVN,2057159,32723,29043,22643,,,,,
2013,SVN,2059953,32342,29974,23497,,,,,
2014,SVN,2061980,33205,30870,24215,,,,,
2015,SVN,2063531,33913,31628,20882,,,,,
2016,SVN,2065042,34970,33936,21664,,,,,
2017,SVN,2066388,36622,36622,23513,,,,,
2018,SVN,2073894,38090,40144,26116,,,,,
2019,SVN,2087946,39038,42431,25946,,,,,
2006,SWE,9080505,47443,37680,46594,,,,,
2007,SWE,9148092,48712,40855,53700,,,,,
2008,SWE,9219637,48117,42158,56153,,,,,
2009,SWE,9298515,45638,40309,46947,,,,,
2010,SWE,9378126,47944,42256,52869,,,,,
2011,SWE,9449213,49104,44609,60756,,,,,
2012,SWE,9519374,48455,45432,58038,,,,,
2013,SWE,9600379,48617,46312,61127,,,,,
2014,SWE,9696110,49416,47185,60020,,,,,
2015,SWE,9799186,51092,49103,51545,,,,,
2016,SWE,9923085,51498,50430,51965,,,,,
2017,SWE,10057698,52114,52114,53792,,,,,
2018,SWE,10175214,52516,55243,54589,,,,,
2019,SWE,10285453,52609,56632,51615,,,,,
2006,SWZ,1036092,6907,6743,3177,,,,,
2007,SWZ,1042652,7168,7186,3327,,,,,
2008,SWZ,1049945,7176,7334,3137,,,,,
2009,SWZ,1057467,7237,7453,3386,,,,,
2010,SWZ,1064837,7459,7771,4169,,,,,
2011,SWZ,1072032,7576,8058,4497,,,,,
2012,SWZ,1079288,7930,8267,4528,,,,,
2013,SWZ,1086839,8180,8709,4230,,,,,
2014,SWZ,1095021,8193,8797,4039,,,,,
2015,SWZ,1104044,8305,8812,3680,,,,,
2016,SWZ,1113984,8321,8706,3426,,,,,
2017,SWZ,1124753,8408,8408,3915,,,,,
2018,SWZ,1136191,8521,8729,4106,,,,,
2019,SWZ,1148130,8622,9003,3895,,,,,
2006,SXM,33441,,,,,,,,
2007,SXM,33811,,,,,,,,
2008,SXM,33964,,,,,,,,
2009,SXM,34238,41969,32615,,,,,,
2010,SXM,34056,43544,34232,,,,,,
2011,SXM,33435,46393,37234,27997,,,,,
2012,SXM,34640,45402,32878,28460,,,,,
2013,SXM,36607,43524,32478,27943,,,,,
2014,SXM,37685,42947,38859,33044,,,,,
2015,SXM,38825,41852,38212,32275,,,,,
2016,SXM,39969,40858,38230,31617,,,,,
2017,SXM,40574,37914,37914,29369,,,,,
2018,SXM,40654,35342,36203,29160,,,,,
2019,SXM,40733,,,,,,,,
2006,SYC,84600,19664,17028,12014,,,,,
2007,SYC,85033,21603,19209,12155,,,,,
2008,SYC,86956,20672,18739,11123,,,,,
2009,SYC,87298,20363,18600,9707,,,,,
2010,SYC,89770,20982,19388,10805,,,,,
2011,SYC,87441,23240,21923,12189,,,,,
2012,SYC,88303,23303,21565,12007,,,,,
2013,SYC,89949,24253,22369,14766,,,,,
2014,SYC,91359,24955,23890,14700,,,,,
2015,SYC,93419,25609,24067,14745,,,,,
2016,SYC,94677,26422,25681,15069,,,,,
2017,SYC,95843,27243,27243,15906,,,,,
2018,SYC,96762,27997,28679,16391,,,,,
2019,SYC,97625,29223,30517,17448,,,,,
2006,SYR,19059258,,,1749,,,,,
2007,SYR,19878254,,,2033,,,,,
2008,SYR,20664038,,,,,,,,
2009,SYR,21205873,,,,,,,,
2010,SYR,21362529,,,,,,,,
2011,SYR,21082966,,,,,,,,
2012,SYR,20442541,,,,,,,,
2013,SYR,19584274,,,,,,,,
2014,SYR,18715672,,,,,,,,
2015,SYR,17997408,,,,,,,,
2016,SYR,17453933,,,,,,,,
2017,SYR,17068002,,,,,,,,
2018,SYR,16906283,,,,,,,,
2019,SYR,17070135,,,,,,,,
2006,TCA,29391,,,24562,,,,,
2007,TCA,30385,,,25456,,,,,
2008,TCA,31202,,,27648,,,,,
2009,TCA,31934,,,22020,,,,,
2010,TCA,32660,,,21028,,,,,
2011,TCA,33377,23757,21232,21835,,,,,
2012,TCA,34066,23050,19375,21346,,,,,
2013,TCA,34731,22851,20121,21717,,,,,
2014,TCA,35369,24393,22031,23780,,,,,
2015,TCA,35981,26692,24098,26182,,,,,
2016,TCA,36559,28174,26352,28241,,,,,
2017,TCA,37115,27061,27061,27546,,,,,
2018,TCA,37665,28162,28848,29555,,,,,
2019,TCA,38191,29253,30548,31353,,,,,
2006,TCD,10457124,1572,1548,710,,,,,
2007,TCD,10818024,1570,1586,800,,,,,
2008,TCD,11183588,1565,1612,929,,,,,
2009,TCD,11560147,1578,1638,804,,,,,
2010,TCD,11952136,1733,1820,893,,,,,
2011,TCD,12360989,1677,1798,985,,,,,
2012,TCD,12784750,1765,1731,967,,,,,
2013,TCD,13220424,1804,1569,980,,,,,
2014,TCD,13663559,1866,1677,1020,,,,,
2015,TCD,14110975,1857,1820,776,,,,,
2016,TCD,14561666,1687,1665,693,,,,,
2017,TCD,15016773,1587,1587,666,,,,,
2018,TCD,15477751,1576,1615,726,,,,,
2019,TCD,15946876,1580,1650,710,,,,,
2006,TGO,5762880,1185,1038,408,,,,,
2007,TGO,5920359,1140,1025,449,,,,,
2008,TGO,6083420,1155,1058,544,,,,,
2009,TGO,6250835,1186,1095,538,,,,,
2010,TGO,6421679,1225,1144,534,,,,,
2011,TGO,6595943,1269,1210,587,,,,,
2012,TGO,6773807,1316,1227,572,,,,,
2013,TGO,6954721,1361,1275,621,,,,,
2014,TGO,7137997,1404,1328,641,,,,,
2015,TGO,7323158,1447,1397,571,,,,,
2016,TGO,7509952,1490,1454,597,,,,,
2017,TGO,7698475,1517,1517,626,,,,,
2018,TGO,7889094,1553,1591,680,,,,,
2019,TGO,8082366,1597,1667,679,,,,,
2006,THA,65812536,12851,11025,3370,,,,,
2007,THA,66182067,13473,11870,3973,,,,,
2008,THA,66530984,13634,12245,4380,,,,,
2009,THA,66866839,13472,12191,4213,,,,,
2010,THA,67195028,14413,13195,5076,,,,,
2011,THA,67518382,14465,13519,5492,,,,,
2012,THA,67835957,15440,14871,5861,,,,,
2013,THA,68144501,15783,15408,6168,,,,,
2014,THA,68438730,15870,15480,5952,,,,,
2015,THA,68714511,16302,15822,5840,,,,,
2016,THA,68971331,16798,16619,5994,,,,,
2017,THA,69209858,17421,17421,6593,,,,,
2018,THA,69428524,18087,18527,7295,,,,,
2019,THA,69625582,18460,19277,7807,,,,,
2006,TJK,6922587,1909,1844,409,,,,,
2007,TJK,7062672,2017,2000,527,,,,,
2008,TJK,7209930,2132,2155,716,,,,,
2009,TJK,7364753,2168,2208,676,,,,,
2010,TJK,7527394,2260,2328,750,,,,,
2011,TJK,7697510,2373,2497,847,,,,,
2012,TJK,7874835,2493,2750,969,,,,,
2013,TJK,8059769,2616,3028,1048,,,,,
2014,TJK,8252833,2727,3303,1104,,,,,
2015,TJK,8454028,2822,2992,929,,,,,
2016,TJK,8663579,2943,3097,803,,,,,
2017,TJK,8880268,3090,3090,806,,,,,
2018,TJK,9100837,3235,3314,827,,,,,
2019,TJK,9321018,3380,3529,871,,,,,
2006,TKL,,,,,,,,,
2007,TKL,,,,,,,,,
2008,TKL,,,,,,,,,
2009,TKL,,,,,,,,,
2010,TKL,,,,,,,,,
2011,TKL,,,,,,,,,
2012,TKL,,,,,,,,,
2013,TKL,,,,,,,,,
2014,TKL,,,,,,,,,
2015,TKL,,,,,,,,,
2016,TKL,,,,,,,,,
2017,TKL,1502,,,7019,,,,,
2018,TKL,1507,,,6979,,,,,
2019,TKL,1503,,,6882,,,,,
2006,TKM,4810109,6175,6588,2136,,,,,
2007,TKM,4870141,6773,7421,2600,,,,,
2008,TKM,4935767,7665,8562,3904,,,,,
2009,TKM,5007954,8016,9021,4036,,,,,
2010,TKM,5087213,8617,9811,4439,,,,,
2011,TKM,5174085,9718,11295,5650,,,,,
2012,TKM,5267900,10604,12057,6675,,,,,
2013,TKM,5366375,11471,12739,7304,,,,,
2014,TKM,5466328,12421,13491,7962,,,,,
2015,TKM,5565287,12994,13691,6433,,,,,
2016,TKM,5662372,13563,13866,6390,,,,,
2017,TKM,5757669,14205,14205,6587,,,,,
2018,TKM,5850908,14845,15207,6967,,,,,
2019,TKM,5942089,,,,,,,,
2006,TLS,1016432,2133,1340,446,,,,,
2007,TLS,1036392,2306,1488,524,,,,,
2008,TLS,1055431,2522,1659,614,,,,,
2009,TLS,1074277,2725,1806,677,,,,,
2010,TLS,1093523,2930,1965,806,,,,,
2011,TLS,1113151,3045,2085,948,,,,,
2012,TLS,1132994,3172,2320,1013,,,,,
2013,TLS,1153295,3183,2483,1210,,,,,
2014,TLS,1174331,3265,2721,1232,,,,,
2015,TLS,1196302,3298,2913,1333,,,,,
2016,TLS,1219288,3345,3131,1354,,,,,
2017,TLS,1243261,3145,3145,1286,,,,,
2018,TLS,1267972,3052,3126,1230,,,,,
2019,TLS,1293119,3553,3710,1561,,,,,
2006,TON,101706,5267,4401,2873,,,,,
2007,TON,102581,5236,4493,2910,,,,,
2008,TON,103379,5443,4761,3332,,,,,
2009,TON,103890,5134,4525,3007,,,,,
2010,TON,103986,5171,4610,3528,,,,,
2011,TON,103562,5546,5048,4003,,,,,
2012,TON,102737,5636,5229,4582,,,,,
2013,TON,101768,5708,5388,4428,,,,,
2014,TON,101028,5866,5640,4354,,,,,
2015,TON,100781,5949,5779,4336,,,,,
2016,TON,101133,6318,6201,4158,,,,,
2017,TON,101998,6472,6472,4514,,,,,
2018,TON,103197,6416,6573,4741,,,,,
2019,TON,104494,6383,6666,4903,,,,,
2006,TTO,1302561,27552,27265,14102,,,,,
2007,TTO,1308451,28732,29196,16540,,,,,
2008,TTO,1314443,29571,30633,21204,,,,,
2009,TTO,1320930,28134,29366,14514,,,,,
2010,TTO,1328147,28911,30529,16683,,,,,
2011,TTO,1336178,28653,30888,19034,,,,,
2012,TTO,1344817,28830,30063,19157,,,,,
2013,TTO,1353700,29279,30060,20144,,,,,
2014,TTO,1362342,28828,29698,20271,,,,,
2015,TTO,1370328,29183,27510,18290,,,,,
2016,TTO,1377564,27201,26270,16177,,,,,
2017,TTO,1384072,26448,26448,16238,,,,,
2018,TTO,1389858,26273,26913,17130,,,,,
2019,TTO,1394973,26176,27334,17398,,,,,
2006,TUN,10201214,8887,8363,3370,,,,,
2007,TUN,10304726,9388,9072,3776,,,,,
2008,TUN,10414433,9683,9538,4307,,,,,
2009,TUN,10525694,9872,9799,4128,,,,,
2010,TUN,10635244,10113,10155,4142,,,,,
2011,TUN,10741880,9821,10068,4265,,,,,
2012,TUN,10847002,10115,10217,4153,,,,,
2013,TUN,10952951,10305,10232,4223,,,,,
2014,TUN,11063201,10505,10446,4305,,,,,
2015,TUN,11179949,10520,10209,3862,,,,,
2016,TUN,11303946,10525,10359,3698,,,,,
2017,TUN,11433443,10605,10605,3481,,,,,
2018,TUN,11565204,10764,11026,3439,,,,,
2019,TUN,11694719,10756,11232,3317,,,,,
2006,TUR,68756810,19339,13730,8102,,,,,
2007,TUR,69581848,20074,14968,9792,,,,,
2008,TUR,70418604,19997,16182,10941,,,,,
2009,TUR,71321399,18791,15609,9104,,,,,
2010,TUR,72326988,20092,17556,10742,,,,,
2011,TUR,73443863,22002,19799,11421,,,,,
2012,TUR,74653016,22682,20772,11795,,,,,
2013,TUR,75928564,24194,22438,12614,,,,,
2014,TUR,77231907,24960,24089,12157,,,,,
2015,TUR,78529409,26042,25753,11006,,,,,
2016,TUR,79821724,26471,26514,10895,,,,,
2017,TUR,81101892,28008,28008,10591,,,,,
2018,TUR,82319724,28410,28832,9456,,,,,
2019,TUR,83429615,28289,28133,9127,,,,,
2006,TUV,10120,3198,2672,2263,,,,,
2007,TUV,10221,3368,2889,2645,,,,,
2008,TUV,10314,3604,3152,2937,,,,,
2009,TUV,10424,3408,3003,2600,,,,,
2010,TUV,10530,3281,2926,3022,,,,,
2011,TUV,10633,3494,3180,3641,,,,,
2012,TUV,10739,3327,3086,3508,,,,,
2013,TUV,10857,3441,3248,3455,,,,,
2014,TUV,10972,3451,3318,3399,,,,,
2015,TUV,11099,3723,3617,3198,,,,,
2016,TUV,11225,3793,3723,3256,,,,,
2017,TUV,11370,3898,3898,3572,,,,,
2018,TUV,11508,3948,4044,3701,,,,,
2019,TUV,11646,4281,4471,4059,,,,,
2006,TWN,22877000,"35,119","31,187","16,893",,,,,
2007,TWN,22958000,"37,391","34,097","17,724",,,,,
2008,TWN,23037000,"37,562","34,918","18,054",,,,,
2009,TWN,23120000,"36,823","34,493","16,905",,,,,
2010,TWN,23162000,"40,522","38,400","19,181",,,,,
2011,TWN,23225000,"41,897","40,533","20,839",,,,,
2012,TWN,23316000,"42,661","41,741","21,256",,,,,
2013,TWN,23374000,"43,612","43,435","21,945",,,,,
2014,TWN,23434000,"45,553","45,494","22,844",,,,,
2015,TWN,23492000,"46,106","46,911","22,753",,,,,
2016,TWN,23540000,"47,009","47,272","23,071",,,,,
2017,TWN,23571000,"48,501","48,501","25,062",,,,,
2018,TWN,23589000,"49,795","50,990","25,780",,,,,
2019,TWN,23603000,"51,113","53,275","25,873",,,,,
2006,TZA,39548663,1781,1737,485,,,,,
2007,TZA,40681414,1849,1851,553,,,,,
2008,TZA,41853944,1899,1939,687,,,,,
2009,TZA,43073834,1943,1998,695,,,,,
2010,TZA,44346525,2007,2088,743,,,,,
2011,TZA,45673338,2098,2229,781,,,,,
2012,TZA,47052481,2129,2099,868,,,,,
2013,TZA,48482266,2206,2195,970,,,,,
2014,TZA,49959822,2285,2244,1030,,,,,
2015,TZA,51482633,2354,2348,948,,,,,
2016,TZA,53050790,2442,2479,966,,,,,
2017,TZA,54663906,2530,2530,1005,,,,,
2018,TZA,56318348,2590,2651,1061,,,,,
2019,TZA,58005463,2660,2771,1122,,,,,
2006,UGA,28571475,1589,1664,349,,,,,
2007,UGA,29486338,1669,1794,404,,,,,
2008,UGA,30431736,1758,1927,475,,,,,
2009,UGA,31411096,1819,2009,797,,,,,
2010,UGA,32428167,1861,2080,819,,,,,
2011,UGA,33476919,1972,2250,829,,,,,
2012,UGA,34559168,1984,2005,787,,,,,
2013,UGA,35695246,1990,2006,807,,,,,
2014,UGA,36912148,2022,2079,880,,,,,
2015,UGA,38225453,2054,2120,844,,,,,
2016,UGA,39647506,2075,2084,733,,,,,
2017,UGA,41162465,2075,2075,747,,,,,
2018,UGA,42723139,2122,2174,770,,,,,
2019,UGA,44269594,2187,2284,794,,,,,
2006,UKR,46787786,11853,7776,2301,,,,,
2007,UKR,46509355,12829,8642,3066,,,,,
2008,UKR,46258189,13196,9062,3887,,,,,
2009,UKR,46053331,11298,7818,2543,,,,,
2010,UKR,45870741,11778,8245,2965,,,,,
2011,UKR,45706086,12467,8910,3570,,,,,
2012,UKR,45593342,12527,9343,3855,,,,,
2013,UKR,45489648,12553,10692,4030,,,,,
2014,UKR,45272156,12409,10744,3105,,,,,
2015,UKR,45154036,11237,10164,2125,,,,,
2016,UKR,45004674,11535,11148,2188,,,,,
2017,UKR,44831135,11871,11871,2641,,,,,
2018,UKR,44622518,12338,12629,3097,,,,,
2019,UKR,44385155,12810,13341,3659,,,,,
2006,URY,3325401,13944,12406,5888,,,,,
2007,URY,3331749,14828,13547,7027,,,,,
2008,URY,3340221,15852,14764,9091,,,,,
2009,URY,3349676,16478,15464,9452,,,,,
2010,URY,3359275,17713,16817,11992,,,,,
2011,URY,3368934,18574,18003,14237,,,,,
2012,URY,3378974,19174,18192,15172,,,,,
2013,URY,3389439,20001,19130,16974,,,,,
2014,URY,3400434,20582,20094,16832,,,,,
2015,URY,3412009,20588,20218,15614,,,,,
2016,URY,3424132,20862,20670,15387,,,,,
2017,URY,3436646,21325,21325,17322,,,,,
2018,URY,3449299,21591,22117,17278,,,,,
2019,URY,3461734,21561,22515,16190,,,,,
2006,USA,298379912,55411,46299,46299,,,,,
2007,USA,301231207,55917,47976,47976,,,,,
2008,USA,304093966,55315,48383,48383,,,,,
2009,USA,306771529,53441,47100,47100,,,,,
2010,USA,309321666,54359,48468,48468,,,,,
2011,USA,311556874,54806,49887,49887,,,,,
2012,USA,313830990,55633,51611,51611,,,,,
2013,USA,315993715,56270,53118,53118,,,,,
2014,USA,318301008,57273,55065,55065,,,,,
2015,USA,320635163,58510,56839,56839,,,,,
2016,USA,322941311,59043,57952,57952,,,,,
2017,USA,324985539,60062,60062,60062,,,,,
2018,USA,326687501,61498,62996,62996,,,,,
2019,USA,328239523,62530,65298,65298,,,,,
2006,UZB,26488250,3615,3731,654,,,,,
2007,UZB,26868000,3901,4135,830,,,,,
2008,UZB,27302800,4186,4523,1082,,,,,
2009,UZB,27767400,4447,4842,1213,,,,,
2010,UZB,28562400,4652,5124,1634,,,,,
2011,UZB,29339400,4881,5489,1926,,,,,
2012,UZB,29774500,5164,5713,2137,,,,,
2013,UZB,30243200,5470,5942,2281,,,,,
2014,UZB,30757700,5764,6159,2492,,,,,
2015,UZB,31298900,6087,6343,2615,,,,,
2016,UZB,31847900,6346,6453,2568,,,,,
2017,UZB,32388600,6519,6519,1827,,,,,
2018,UZB,32956100,6755,6920,1529,,,,,
2019,UZB,33580650,6999,7308,1725,,,,,
2006,VCT,108603,11488,9536,5625,,,,,
2007,VCT,108518,11882,10127,6307,,,,,
2008,VCT,108393,12084,10500,6416,,,,,
2009,VCT,108287,11842,10368,6233,,,,,
2010,VCT,108255,11448,10140,6293,,,,,
2011,VCT,108316,11394,10302,6242,,,,,
2012,VCT,108435,11538,10457,6390,,,,,
2013,VCT,108622,11730,10909,6640,,,,,
2014,VCT,108861,11846,11310,6685,,,,,
2015,VCT,109148,11972,11642,6921,,,,,
2016,VCT,109459,12164,12457,7075,,,,,
2017,VCT,109827,12245,12245,7213,,,,,
2018,VCT,110210,12466,12770,7361,,,,,
2019,VCT,110589,12485,13038,7458,,,,,
2006,VEN,26850194,,15220,6833,,,,,
2007,VEN,27247610,,16749,8454,,,,,
2008,VEN,27635832,,17723,11433,,,,,
2009,VEN,28031009,,17043,11765,,,,,
2010,VEN,28439940,,16740,13825,,,,,
2011,VEN,28888369,,17527,10955,,,,,
2012,VEN,29362449,,,12986,,,,,
2013,VEN,29783571,,,12457,,,,,
2014,VEN,30045134,,,16054,,,,,
2015,VEN,30081829,,,,,,,,
2016,VEN,29846179,,,,,,,,
2017,VEN,29390409,,,,,,,,
2018,VEN,28870195,,,,,,,,
2019,VEN,28515829,,,,,,,,
2006,VGB,24023,,,,,,,,
2007,VGB,25047,,,,,,,,
2008,VGB,26097,,,,,,,,
2009,VGB,27039,,,,,,,,
2010,VGB,27794,,,,,,,,
2011,VGB,28319,,,,,,,,
2012,VGB,28650,,,,,,,,
2013,VGB,28847,,,,,,,,
2014,VGB,28989,,,,,,,,
2015,VGB,29152,,,,,,,,
2016,VGB,29355,,,,,,,,
2017,VGB,29577,,,,,,,,
2018,VGB,29802,,,,,,,,
2019,VGB,30030,,,,,,,,
2006,VIR,108371,,,41561,,,,,
2007,VIR,108339,,,44333,,,,,
2008,VIR,108399,,,39207,,,,,
2009,VIR,108405,,,38771,,,,,
2010,VIR,108358,,,40043,,,,,
2011,VIR,108292,,,39144,,,,,
2012,VIR,108191,,,37850,,,,,
2013,VIR,108044,,,34819,,,,,
2014,VIR,107884,,,33573,,,,,
2015,VIR,107710,,,34797,,,,,
2016,VIR,107510,,,35932,,,,,
2017,VIR,107268,,,35938,,,,,
2018,VIR,106977,,,,,,,,
2019,VIR,106631,,,,,,,,
2006,VNM,84617540,4167,3233,784,,,,,
2007,VNM,85419591,4422,3523,906,,,,,
2008,VNM,86243413,4628,3759,1149,,,,,
2009,VNM,87092252,4830,3953,1217,,,,,
2010,VNM,87967651,5089,4213,1318,,,,,
2011,VNM,88871561,5352,4523,1525,,,,,
2012,VNM,89802487,5574,5042,1735,,,,,
2013,VNM,90753472,5815,5359,1887,,,,,
2014,VNM,91714595,6098,5745,2030,,,,,
2015,VNM,92677076,6438,6103,2085,,,,,
2016,VNM,93638724,6768,6573,2192,,,,,
2017,VNM,94596642,7156,7156,2366,,,,,
2018,VNM,95540395,7586,7771,2567,,,,,
2019,VNM,96462106,8041,8397,2715,,,,,
2006,VUT,214370,3037,2538,2050,,,,,
2007,VUT,219472,3120,2677,2399,,,,,
2008,VUT,224704,3244,2837,2706,,,,,
2009,VUT,230247,3271,2882,2650,,,,,
2010,VUT,236211,3240,2889,2967,,,,,
2011,VUT,242653,3192,2906,3265,,,,,
2012,VUT,249499,3159,2931,3133,,,,,
2013,VUT,256635,3132,2957,3124,,,,,
2014,VUT,263888,3116,2996,3088,,,,,
2015,VUT,271130,3038,2951,2802,,,,,
2016,VUT,278330,3062,3005,2890,,,,,
2017,VUT,285510,3117,3117,3082,,,,,
2018,VUT,292680,3128,3205,3125,,,,,
2019,VUT,299882,3153,3293,3115,,,,,
2006,WLF,,,,,,,,,
2007,WLF,,,,,,,,,
2008,WLF,,,,,,,,,
2009,WLF,,,,,,,,,
2010,WLF,,,,,,,,,
2011,WLF,,,,,,,,,
2012,WLF,,,,,,,,,
2013,WLF,,,,,,,,,
2014,WLF,,,,,,,,,
2015,WLF,,,,11674,,,,,
2016,WLF,,,,,,,,,
2017,WLF,,,,,,,,,
2018,WLF,11559,,,,,,,,
2019,WLF,11502,,,,,,,,
2006,WSM,180876,6016,5028,2797,,,,,
2007,WSM,182046,6355,5454,3134,,,,,
2008,WSM,183263,6377,5579,3379,,,,,
2009,WSM,184556,6027,5314,3168,,,,,
2010,WSM,185949,6011,5361,3566,,,,,
2011,WSM,187469,6211,5655,3933,,,,,
2012,WSM,189088,5906,5481,4022,,,,,
2013,WSM,190717,5831,5506,4038,,,,,
2014,WSM,192221,5790,5568,3938,,,,,
2015,WSM,193513,5997,5828,4074,,,,,
2016,WSM,194535,6446,6329,4109,,,,,
2017,WSM,195352,6486,6486,4260,,,,,
2018,WSM,196130,6327,6474,4189,,,,,
2019,WSM,197097,6521,6796,4324,,,,,
2006,XKX,1719536,7083,6170,2237,,,,,
2007,XKX,1733404,7538,6743,2686,,,,,
2008,XKX,1747383,7950,7250,3255,,,,,
2009,XKX,1761474,8169,7507,3210,,,,,
2010,XKX,1775680,8372,7783,3287,,,,,
2011,XKX,1791000,8664,8222,3742,,,,,
2012,XKX,1807106,8828,8477,3597,,,,,
2013,XKX,1818117,9076,8805,3891,,,,,
2014,XKX,1812771,9214,9043,4080,,,,,
2015,XKX,1788196,9724,9576,3603,,,,,
2016,XKX,1777557,10180,10062,3780,,,,,
2017,XKX,1791003,10530,10530,4046,,,,,
2018,XKX,1797085,10895,11161,4420,,,,,
2019,XKX,1794248,11368,11871,4418,,,,,
2006,YEM,20687646,,3643,921,,,,,
2007,YEM,21282515,,3758,1017,,,,,
2008,YEM,21892146,,3860,1229,,,,,
2009,YEM,22516460,,3928,1116,,,,,
2010,YEM,23154855,,4162,1335,,,,,
2011,YEM,23807588,,3607,1375,,,,,
2012,YEM,24473178,,3491,1447,,,,,
2013,YEM,25147109,,3689,1607,,,,,
2014,YEM,25823485,,,1673,,,,,
2015,YEM,26497889,,,1602,,,,,
2016,YEM,27168210,,,1139,,,,,
2017,YEM,27834821,,,961,,,,,
2018,YEM,28498687,,,824,,,,,
2019,YEM,29161922,,,774,,,,,
2006,ZAF,48489459,11924,10518,5602,,,,,
2007,ZAF,49119759,12402,11234,6096,,,,,
2008,ZAF,49779471,12628,11661,5761,,,,,
2009,ZAF,50477011,12262,11410,5863,,,,,
2010,ZAF,51216964,12452,11722,7329,,,,,
2011,ZAF,52004172,12667,12172,8007,,,,,
2012,ZAF,52834005,12744,12057,7501,,,,,
2013,ZAF,53689236,12852,12450,6832,,,,,
2014,ZAF,54545991,12884,12521,6433,,,,,
2015,ZAF,55386367,12840,12552,5735,,,,,
2016,ZAF,56203654,12704,12592,5273,,,,,
2017,ZAF,57000451,12703,12703,6132,,,,,
2018,ZAF,57779622,12631,12938,6374,,,,,
2019,ZAF,58558270,12482,13034,6001,,,,,
2006,ZMB,12173514,2483,2367,1048,,,,,
2007,ZMB,12502958,2620,2564,1124,,,,,
2008,ZMB,12848530,2747,2741,1394,,,,,
2009,ZMB,13215139,2918,2933,1160,,,,,
2010,ZMB,13605984,3126,3179,1489,,,,,
2011,ZMB,14023193,3201,3324,1673,,,,,
2012,ZMB,14465121,3339,3423,1763,,,,,
2013,ZMB,14926504,3400,3579,1879,,,,,
2014,ZMB,15399753,3450,3539,1763,,,,,
2015,ZMB,15879361,3444,3430,1338,,,,,
2016,ZMB,16363507,3468,3405,1281,,,,,
2017,ZMB,16853688,3485,3485,1535,,,,,
2018,ZMB,17351822,3522,3607,1516,,,,,
2019,ZMB,17861030,3470,3624,1305,,,,,
2006,ZWE,12155491,2233,1685,448,,,,,
2007,ZWE,12255922,2134,1654,432,,,,,
2008,ZWE,12379549,1739,1374,357,,,,,
2009,ZWE,12526968,1925,1533,772,,,,,
2010,ZWE,12697723,2273,1831,948,,,,,
2011,ZWE,12894316,2556,2102,1094,,,,,
2012,ZWE,13115131,2932,2376,1305,,,,,
2013,ZWE,13350356,2938,2561,1430,,,,,
2014,ZWE,13586681,2955,2612,1435,,,,,
2015,ZWE,13814629,2958,2680,1445,,,,,
2016,ZWE,14030390,2935,2806,1465,,,,,
2017,ZWE,14236745,3028,3028,1548,,,,,
2018,ZWE,14439018,3130,3206,1684,,,,,
2019,ZWE,14645468,2836,2961,1464,,,,,
