source_code,proxy_source,Retrieval_date,retrieval_url,description
source_202,,,,Polynésie française. Direction de la Santé;  Analyse des certificats de santé du 8ème jour
source_203,,,,Polynésie française. Direction Générale de l'Education et des Enseignements
source_204,,,,WHO_Pikacha J and Iniakwala D. Ministry of health presentation for the IMCI orientation workshop; WHO/ UNICEF sponsored workshop on IMCI; Suva; Fiji; 2001.
source_205,,,,WHO_Annual Report of Reproductive Health; MOHMS; 2004.Solomon Islands
source_206,,,,WHO_Registry Department; Nursing School and Registry of Reproductive Health Unit; 2005.Solomon Islands
source_207,,,,WHO_Department of Economic and Social Affairs Population Division.  World Contraceptive Use 2011. [http://www.un.org/esa/population/publications/contraceptive2011/contraceptive2011.htm]
source_208,,,,Solomon Islands Demographic and Health Survey 2006-2007 - https://sdd.spc.int/digital_library/solomon-islands-demographic-and-health-survey-2006-2007
source_209,,,,Solomon Islands - Ministry of Education and Human Resources Development - Performance Assessment Report (PAR) 2010-2014 - https://sdd.spc.int/digital_library/solomon-islands-performance-assessment-report-2010-2014
source_210,,,,Solomons Islands - MoE Education Digest
source_211,,,,Solomon Islands Demographic and Health Survey 2015 - https://pacificdata.org/data/dataset/oai-www-spc-int-f5f42ae3-baef-4317-9f90-c6f7233ff7d2
source_212,,,,Solomon Islands Ministry of Health and Medical Services and the Pacific Community. 2017. Solomon Islands Demographic and Health Survey; 2015 (and additional analysis)
source_213,,,,Ministry of Educaiton and Human Resources Development: Performance Assessment Report 2019 Solomon Islands Education Statistics Digest.
source_214,,,,WHO_Hospital records.Tokelau
source_215,,,,WHO_Information furnished by the Tokelau Department of Health; 17 May 2001.
source_216,,,,2012 Pacific Regional Millennium Development Goals Tracking Report; https://pacific-data.sprep.org/dataset/millenium-development-goals-pacific-islands/resource/470d9b22-7705-484c-9929-ad9226e1a5df
source_217,,,,2012 Millenium Development Goals Report; https://www.un.org/en/development/desa/publications/mdg-report-2012.html
source_218,,,,Millenium Development Goals 2012 Report; https://www.un.org/en/development/desa/publications/mdg-report-2012.html
source_219,,,,accessed from National Minimum Development Indicators (NMDI) website on 30 October 2020
source_220,,,,WHO_Information furnished by WHO Representative in Samoa; 29 September 2011.
source_221,,,,Western Pacific Country Health Profiles 2011; https://iris.wpro.who.int/handle/10665.1/10522
source_222,,,,NMDI_Tokelau - Health Statistics;  Director of Health
source_223,,,,WHO_National Minimum Development Indicator Database [website]. Pacific Regional Information System; Statistics for Development Division. Secretariat of the Pacific Community. Accessed September 2015; [http://www.spc.int/nmdi/en].
source_224,,,,WHO_NMDI Database [website]. Pacific Regional Information System; Statistics for Development Division. Secretariat of the Pacific Community. Accessed September 2015; [http://www.spc.int/nmdi/en].
source_225,,,,Tokelau - Government of Tokelau Statistics Adviser
source_226,,,,UNESCO education and literacy data; Tokelau; accessed on 7 January 2022 from http://uis.unesco.org/en/country/tk
source_227,,,,WHO_Report of the Minister of health for the year 2000; Government of Tonga.
source_228,,,,WHO_Report of the Minister of health for the year 2001; Government of Tonga
source_229,,,,WHO_Report of the Minister of Health for the year 2002.Tonga
source_230,,,,WHO_Report of the Minister of Health for the year 2007.Tonga
source_231,,,,Tonga - Health Statistics; Senior Health Informatics Officer
source_232,,,,WHO_Population Division of the Department of Economic and Social Affairs of the United Nations Secretariat; World Population Prospects: The 2008 Revision and World Urbanization Prospects: The 2009 Revision [http://esa.un.org/wup2009/unup/]Monday
source_233,,,,Tonga Department of Statistics and Tonga Ministry of Health; SPC and UNFPA. 2013. Tonga Demographic and Health Survey; 2012. Retrieved from: http://www.spc.int/DigitalLibrary/Doc/SDD/DHS/Tonga_Demographic_and_Health_Survey_DHS_Report_2012.pdf
source_234,,,,2011 TONGA Education Management Information System
source_235,,,,Tonga Demographic and Health Survey 2012; https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/79/79b2571ec6acc68abcd0f0c34439761b.pdf?sv=2015-12-11&sr=b&sig=Cvascolg8blF7898ybttoqoB7cB6cntXkbYnt7btWGc%3D&se=2021-05-24T21%3A09%3A15Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Tonga_Demographic_and_Health_Survey_DHS_Report_2012.pdf%22
source_236,,,,"Tonga demographic and health survey 2012. Noumea; New Caledonia: Secretariat of the Pacific Community, 2013."
source_237,,,,Tonga 2019 MISC Survey Findings Report 
source_238,,,,UNESCO education and literacy data; Tonga; accessed on 7 January 2022 from http://uis.unesco.org/en/country/to
source_239,,,,Tonga 2019 Multiple Indicator Cluster Survey Survey Findings Report - https://pacificdata.org/data/dataset/spc_ton_2019_mics_v01_m_v01_a_puf
source_240,,,,Life Tables for 191 Countries: Data Methods and Results. Av M & F. WHO GPE Discussion Paper Series: No.9 (https://www.who.int/healthinfo/paper09.pdf)
source_241,,,,Tuvalu Census 2002 Report_AvM&F
source_242,,,,WHO_Health record.Tuvalu
source_243,,,,NMDI--Census Report - Tuvalu 2002 - from http://prdrse4all.spc.int/node/4/content/tuvalu-2002-census-reports-volume-1-volume-2
source_244,,,,WHO_Information furnished by the Health Department; Government of Tuvalu; 18 March 2003.
source_245,,,,Tuvalu Millenniumm Development Goals Report 2010; https://www.pacific.undp.org/content/pacific/en/home/library/mdg/TuvaluMDGs.html
source_246,,,,Tuvalu Demographic and Health Survey 2007; https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/47/47fcf203ce430988c5d011759eea43df.pdf?sv=2015-12-11&sr=b&sig=vO4D7j%2FiJAJq8v%2FwZVgALT5ppZuwFTiRU53qHdpgnts%3D&se=2021-05-24T21%3A10%3A10Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Tuvalu_Demographic_and_Health_Survey_DHS_Report_2007.pdf%22
source_247,,,,Central Statistics Division (TCSD); SPC and Macro International Inc. 2007. Tuvalu Demographic and Health Survey. Retrieved from: http://www.spc.int/DigitalLibrary/Doc/SDD/DHS/Tuvalu_Demographic_and_Health_Survey_DHS_Report_2007.pdf
source_248,,,,National Minimum Development Indicators
source_249,,,,National Education For All - 2015 Review in Tuvalu. Sourced from UNESDOC Digital Library - http://uis.unesco.org/sites/default/files/documents/pacific-education-for-all-2015-review-en_1.pdf
source_250,,,,2012  Tuvalu Education Managament Information System data; Tuvalu Education Statistical Report 2015 - https://sdd.spc.int/digital_library/tuvalu-2015-education-statistical-report
source_251,,,,Tuvalu Education Department. Ministry of Education; Youth and Sports. 2015 Education Statistical Report. https://sdd.spc.int/digital_library/tuvalu-2015-education-statistical-report
source_252,,,,2013  Tuvalu Education Managament Information System data; Tuvalu Education Statistical Report 2015 - https://sdd.spc.int/digital_library/tuvalu-2015-education-statistical-report
source_253,,,,Tuvalu Education Department. Ministry of Education; Youth and Sports. 2016 and 2017 Education Statistical Report. https://sdd.spc.int/digital_library/tuvalu-2016-2017-education-statistical-report
source_254,,,,Tuvalu 2019-2020 MICS Survey Findings Report https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Tuvalu/2019-2020/Survey%20findings/Tuvalu%202019-20%20MICS%20Survey%20Findings%20Report_English.pdf
source_255,,,,UNESCO education and literacy data; Tuvalu; accessed on 7 January 2022 from http://uis.unesco.org/en/country/tv
source_256,,,,http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx
source_257,,,,https://www.lisdatacenter.org/lis-ikf-webapp/app/search-ikf-figures
source_258,,,,"Ministry of Education, Taiwan; https://english.moe.gov.tw/cp-87-14508-95005-1.html"
source_259,,,,https://depart.moe.edu.tw/ED4500/News_Content.aspx?n=48EBDB3B9D51F2B8&sms=F78B10654B1FDBB5&s=40045DB8A5562915
source_260,,,,OECD.org/PISA/data
source_261,,,,"Health Promotion Administration, Ministry of Health and Welfare, Taiwan; https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=268&pid=12886"
source_262,,,,https://eng.stat.gov.tw/public/data/dgbas03/bs2/yearbook_eng/y066.pdf
source_263,,,,Calculated from tables at https://www.moi.gov.tw/english/cl.aspx?n=7780&page=1&PageSize=10 
source_264,,,,Social Indicators 2013: https://eng.stat.gov.tw/public/Attachment/410184513VTN8S5UB.pdf 
source_265,,,,calculated from https://www.hpa.gov.tw/File/Attach/14676/File_17441.pdf
source_266,,,,https://www.hpa.gov.tw/File/Attach/12889/File_14869.pdf page 20
source_267,,,,https://www.stat.gov.tw/ct.asp?xItem=41132&CtNode=6408&mp=4
source_268,,,,https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=268&pid=12886
source_269,,,,"Ministry of Health and Welfare, Taiwan; Appendix-B3 in https://www.mohw.gov.tw/dl-54339-4afc75a4-0196-4d0d-8889-415d20ff3e9c.html"
source_270,,,,Original 7.36% from https://eng.stat.gov.tw/public/data/dgbas03/bs2/SocialIndicator/Nation%20Well-being%20Indicators/The%20Latest%20Data%20of%20National%20Well-being%20Indicators20210531.ods was adjusted to be similar to LIS data pattern using common years of 2013 and 2016.
source_271,,,,"Health Promotion Administration, Ministry of Health and Welfare, Taiwan; https://www.hpa.gov.tw/Pages/ashx/File.ashx?FilePath=~/File/Attach/14317/File_16931.pdf page 39"
source_272,,,,WHO_National Health Statistics Office. Vanuatu
source_273,,,,WHO_Health Information System; Ministry of Health.Vanuatu
source_274,,,,Policy and Planning Unit; Ministry of Education; Republic of Vanuatu. 2012. Annual Statistics Report 2010-2011. Retrieved from: https://www.spc.int/DigitalLibrary/Doc/SDD/Education/VU/Vanuatu_2010_2011_Education_Digest.pdf?attachment=true
source_275,,,,Vanuatu multiple indicator cluster survey 2007 (MICS). Final Report. Port Vila; Vanuatu: Ministry of Health; Government of Vanuatu; 2008 (and additional analysis).
source_276,,,,2013 Annual Statistical Digest (ASD) Ministry of Education - https://sdd.spc.int/digital_library/vanuatu-2012-2013-education-digest
source_277,,,,Policy and Planning Unit; Ministry of Education; Republic of Vanuatu. 2013. Annual Statistics Report 2013. Retrieved from: https://www.spc.int/DigitalLibrary/Doc/SDD/Education/VU/Vanuatu_2012_2013_Education_Digest.pdf?attachment=true
source_278,,,,WHO_UNICEF-WHO Joint Immunization Report 2011. Vanuatu
source_279,,,,2011 Education Managament Information System Data Vanuatu - MOET Annual Statistics Report 2015
source_280,,,,2012 Education Managament Information System Data Vanuatu - MOET Annual Statistics Report 2015
source_281,,,,2013 Education Managament Information System Data Vanuatu - MOET Annual Statistics Report 2015
source_282,,,,Vanuatu demographic and health survey 2013. Port Vila; Vanuatu; 2014. https://www.spc.int/DigitalLibrary/Doc/SDD/DHS/VU/Vanuatu_Demographic_and_Health_Survey_DHS_2013.html
source_283,,,,2014 Education Managament Information System Data Vanuatu - MOET Annual Statistics Report 2015
source_284,,,,Annual Statistical Digest. Ministry of Educaiton and Training (MOET); Vanuatu 2015
source_285,,,,"Ministry of Education and Training Statistical Digest Report 2016-2018. Annual Statistics Digest Report, Ministry of Educaiton and Training (MoET); Vanuatu - https://moet.gov.vu/docs/statistics/2016-2018%20MoET%20Annual%20Statistical%20Digest%20-%20ENG%20version_2019.pdf"
source_286,,,,NMDI--Wallis et Futuna - Service Territorial de la Statistique et des Etudes Economiques; Etat Civil_AvM&F
source_287,,,,NMDI--Wallis et Futuna - Service Territorial de la Statistique et des Etudes Economiques; Etat Civil
source_288,,,,Wallis et Futuna - Agence de santé
source_289,,,,SPC_SDG_UN Global Database
source_290,,,,WHO_Demographic and health survey 1999 (Analytical report); Department of statistics; Apia; Samoa.
source_291,,,,WHO_Human Development Report. 2008 Statistical Update: Samoa. [http://hdrstats.undp.org/2008/countries/country_fact_sheets/cty_fs_WSM.html].
source_292,,,,Samoa - Ministry of Education - Education Statistical Digest 2012 - https://sdd.spc.int/digital_library/samoa-2012-education-stats-digest
source_293,,,,Samoa - Ministry of Education - Education Statistical Digest 2016 - https://sdd.spc.int/digital_library/samoa-2016-education-stats-digest
source_294,,,,Samoa Demographic and Health Survey 2014 (and additional analysis)
source_295,,,,Samoa Statistical Abstract 2017 report; accessed from NMDI website on 30 October 2020 - https://www.sbs.gov.ws/digi/2017%20-%20Samoa%20Bureau%20of%20Statistics%20-%20Statistical%20Abstract.pdf
source_296,,,,Samoa - Ministry of Education; Sports and Culture; Education Statistical Digest 2019 - https://www.mesc.gov.ws/wp-content/uploads/2020/05/2019-Statistical-Digest_FINAL_31st-Jan-2020.pdf
source_297,,,,Samoa 2019-2020 MICS Survey Findings Report. Retrieved: https://mics-surveys-prod.s3.amazonaws.com/MICS6/East%20Asia%20and%20the%20Pacific/Samoa/2019-2020/Survey%20findings/Samoa%202019-20%20DHS-MICS%20Survey%20Findings%20Report_English.pdf
